#iterations	mean Measure
1	0.0
501	0.0024763393104012127
1001	0.0024082481082323623
1501	0.002334903713918225
2001	0.002192362824511824
2501	0.0020358537148756402
3001	0.0018527301735824693
3501	0.0016824199904408451
4001	0.0015275095666251715
4501	0.0014661277765623463
5001	0.0013758786623415161
5501	0.0012922796457051757
6001	0.0012466938818119242
6501	0.0012084403687370713
7001	0.0011494768107451737
7501	0.0011160292674455329
8001	0.0010954526612682914
8501	0.0011065330570703164
9001	0.0011035168343274144
9501	0.0010747121663139587
10001	0.0010585554925994132
10501	0.0010560650741600448
11001	0.0010509705124220577
11001	0.0010509705124220577
11501	0.0010406627120092629
12001	0.0010181598505189266
12501	0.0010206434703882326
13001	0.0010159788086094431
13501	0.0010157751510846535
14001	0.0010288211771521444
14501	0.0010524594592625839
14501	0.0010524594592625839
15001	0.0010600884001461322
15501	0.0010620334830071794
16001	0.0010717992033984277
16501	0.0010794711912734648
17001	0.0010810579509621114
17501	0.0010880514135101936
18001	0.0010911743860908317
18501	0.0010810235689251851
19001	0.001074720836993056
19001	0.001074720836993056
19001	0.001074720836993056
19001	0.001074720836993056
19001	0.001074720836993056
19001	0.001074720836993056
19001	0.001074720836993056
19001	0.001074720836993056
19501	0.001077818521989235
19501	0.001077818521989235
19501	0.001077818521989235
19501	0.001077818521989235
19501	0.001077818521989235
19501	0.001077818521989235
20001	0.0010751256251178155
20501	0.0010767157461921578
21001	0.0010826673810547928
21001	0.0010826673810547928
21501	0.0010925313666444404
22001	0.0011068467530918244
22501	0.0011137737329535763
23001	0.0011098691262355213
23501	0.001115508601272574
24001	0.00111577355704203
24501	0.0011228100851502928
25001	0.0011209150350605485
25501	0.0011166330885763022
26001	0.0011148596216031404
26501	0.0011080714159713693
27001	0.0011021168367620826
27501	0.0010951107562295979
28001	0.001093553208673077
28501	0.0010878024541163475
29001	0.001081434104903923
29001	0.001081434104903923
29501	0.0010741814504187886
29501	0.0010741814504187886
30001	0.0010849536959771052
30501	0.0010840166560451838
31001	0.0010911372385707977
31501	0.0010842880076409143
31501	0.0010842880076409143
32001	0.0010870573486658733
32501	0.001082350410657866
33001	0.0010846617798417326
33501	0.0010924666453820363
34001	0.0010884143734007715
34001	0.0010884143734007715
34501	0.001092625195647418
35001	0.0010976654414744146
35501	0.0011018570671784854
36001	0.0011016035389202188
36501	0.0011032560307301794
37001	0.001105770732991148
37501	0.0011124923715872964
38001	0.0011185821883640497
38501	0.0011234278755732803
39001	0.0011266994909838353
39501	0.0011339104772051917
40001	0.0011460068732092876
40501	0.0011538062159815493
41001	0.0011571123008314347
41501	0.0011652013828093789
42001	0.0011716623065697288
42501	0.0011790286906372147
42501	0.0011790286906372147
43001	0.0011877295021013698
