numero_boletim;data_hora_boletim;sequencial_veiculo;codigo_categoria;descricao_categoria;codigo_especie;descricao_especie;codigo_situacao;descricao_situacao;tipo_socorro;descricao_tipo_socorro
2008149;27/09/2012 17:31;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;2;PARADO         ;0;NÃO INFORMADO       
2008163;27/09/2012 16:15;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
2008163;27/09/2012 16:15;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
2008360;04/09/2012 18:08;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2008360;04/09/2012 18:08;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2008360;04/09/2012 18:08;3;3;PARTICULAR                    ;6;AUTOMOVEL                     ;3;               ;0;NÃO INFORMADO       
2008437;27/09/2012 18:50;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2008437;27/09/2012 18:50;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2008525;27/09/2012 18:51;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2008525;27/09/2012 18:51;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2008604;27/09/2012 19:39;1;4;ALUGUEL                       ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
2008721;27/09/2012 17:36;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2008721;27/09/2012 17:36;2;3;PARTICULAR                    ;13;CAMINHAO                      ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2008727;27/09/2012 18:26;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2008727;27/09/2012 18:26;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2008910;27/09/2012 18:12;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2008910;27/09/2012 18:12;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2009472;27/09/2012 22:43;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
2009576;27/09/2012 20:58;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;2;PARADO         ;0;NÃO INFORMADO       
2009576;27/09/2012 20:58;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;3;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;4;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;5;3;PARTICULAR                    ;12;CAMIONETA                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;6;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;7;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;8;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;9;4;ALUGUEL                       ;13;CAMINHAO                      ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;10;3;PARTICULAR                    ;12;CAMIONETA                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;11;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;12;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;13;4;ALUGUEL                       ;13;CAMINHAO                      ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;14;3;PARTICULAR                    ;12;CAMIONETA                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;15;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;16;4;ALUGUEL                       ;13;CAMINHAO                      ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;17;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;18;4;ALUGUEL                       ;13;CAMINHAO                      ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;19;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;20;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;21;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;22;3;PARTICULAR                    ;12;CAMIONETA                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;23;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;24;4;ALUGUEL                       ;13;CAMINHAO                      ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;25;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;26;3;PARTICULAR                    ;12;CAMIONETA                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;27;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;28;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;29;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;30;4;ALUGUEL                       ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;31;4;ALUGUEL                       ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;32;3;PARTICULAR                    ;13;CAMINHAO                      ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009595;27/09/2012 19:14;33;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2009688;27/09/2012 22:29;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
2009688;27/09/2012 22:29;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
